"Metric","Predictor","Value"
"Degree","(Intercept)","4.829  +/-  2.132"
"Degree","(Intercept)","2.265 (0.04)"
"Eigenvector","(Intercept)","0.631  +/-  0.263"
"Eigenvector","(Intercept)","2.4 (0.032)"
"Eigenvector","GUTHG","-0.605  +/-  0.253"
"Eigenvector","GUTHG","-2.39 (0.033)"
"Betweenness","(Intercept)","8.234  +/-  23.407"
"Betweenness","(Intercept)","0.352 (0.73)"
"Closeness","(Intercept)","0.072  +/-  0.013"
"Closeness","(Intercept)","5.492 (0)"
"Closeness","GUTHG","-0.034  +/-  0.013"
"Closeness","GUTHG","-2.71 (0.018)"
